StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,5/24/21,5/30/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,2273,,,303.28,
Washington,WA,District,No,,,,,Aberdeen School District,Regular local school district,5300030,14005,3163,Weekly,5/31/21,6/6/21,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,2272,,,303.28,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Monthly,9/1/20,9/30/20,Hybrid,Hybrid,Hybrid,Virtual,,Phase-In,Phase-In,Small Groups + Remote,,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Monthly,10/1/20,10/31/20,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Monthly,11/1/20,11/30/20,Hybrid,Hybrid,Hybrid,Hybrid,,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Monthly,12/1/20,12/31/20,,,,,,,,,,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,1/1/21,1/10/21,,,,,,,,,,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,1/11/21,1/17/21,,,,,,,,,,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,1/18/21,1/24/21,Hybrid,In-person,Hybrid,Hybrid,,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,436,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,1/25/21,1/31/21,Hybrid,In-person,Hybrid,Hybrid,,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,436,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,2/1/21,2/7/21,Hybrid,In-person,Hybrid,Hybrid,,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,427,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,2/8/21,2/14/21,,,,,,,,,0,,,61.27,
Washington,WA,District,No,,,,,Adna School District,Regular local school district,5300060,21226,590,Weekly,2/15/21,2/21/21,,,,,,,,,0,,,61.27,
