,Term,SchoolYear,county_fips,TeachingMethod,StudentMaskPolicy,useit,useit_ind
15550,Fall,2021-2022,13209,Full In-Person,Not required,1,0.810126582278481
15551,Fall,2021-2022,1097,Full In-Person,Not required,1,0.8181818181818182
15561,Fall,2021-2022,18129,Full In-Person,Required all students,1,0.8131868131868132
15564,Fall,2021-2022,48159,Full In-Person,Required all students,1,0.810126582278481
15566,Fall,2021-2022,13209,Full In-Person,Required all students,1,0.810126582278481
15567,Fall,2021-2022,1097,Full In-Person,Required all students,1,0.8181818181818182
15603,Fall,2021-2022,39067,Full In-Person,Required all students,1,0.8166666666666667
15606,Fall,2021-2022,42119,Full In-Person,Required all students,1,0.8627450980392157
15651,Fall,2021-2022,9011,Full In-Person,Required all students,1,0.8055555555555556
15735,Fall,2021-2022,39125,Full In-Person,Required all students,1,0.8125
15739,Fall,2021-2022,17033,Full In-Person,Required all students,1,0.8070175438596491
15744,Fall,2021-2022,20009,Full In-Person,Required all students,1,0.95
15745,Fall,2021-2022,27165,Full In-Person,Required all students,1,0.85
15754,Fall,2021-2022,48503,Full In-Person,Required all students,1,0.8571428571428571
15763,Fall,2021-2022,17177,Full In-Person,Required all students,1,0.8441558441558441
15764,Fall,2021-2022,42037,Full In-Person,Required all students,1,0.8070175438596491
15775,Fall,2021-2022,20099,Pending,,0,0.8653846153846154
15794,Fall,2021-2022,48001,Full In-Person,Required all students,1,0.8333333333333334
15795,Fall,2021-2022,17033,Full In-Person,Required all students,1,0.8070175438596491
15800,Fall,2021-2022,29127,Full In-Person,Required all students,1,0.8260869565217391
15846,Fall,2021-2022,54065,Full In-Person,Not required,1,0.8
15857,Fall,2021-2022,17177,Full In-Person,,1,0.8441558441558441
15919,Fall,2021-2022,17145,Full In-Person,Not required,1,0.8
15920,Fall,2021-2022,17145,Full In-Person,Required all students,1,0.8
15921,Fall,2021-2022,17145,Full In-Person,,1,0.8
15965,Fall,2021-2022,26141,Full In-Person,Not required,1,0.875
16015,Fall,2021-2022,17051,Full In-Person,Required all students,1,0.8
16064,Fall,2021-2022,13063,Full In-Person,Not required,1,0.8235294117647058
16073,Fall,2021-2022,13063,Full In-Person,Not required,1,0.8235294117647058
16091,Fall,2021-2022,16011,Full In-Person,Required all students,1,0.8203125
16107,Fall,2021-2022,16011,Full In-Person,Not required,1,0.8203125
16129,Fall,2021-2022,17033,Full In-Person,Required all students,1,0.8070175438596491
16134,Fall,2021-2022,13315,Full In-Person,Required all students,1,0.8214285714285714
