,Term,SchoolYear,county_fips,TeachingMethod,StudentMaskPolicy,useit,useit_ind
1,Fall,2020-2021,2020,Hybrid,Required for all students,1,0.8461538461538461
3,Fall,2020-2021,2020,On Premises,Required for all students,1,0.8461538461538461
5,Fall,2020-2021,2020,Online Only,Pending,1,0.8461538461538461
7,Fall,2020-2021,2020,Online Only,Required for all students,1,0.8461538461538461
27,Fall,2020-2021,8081,On Premises,Not required,1,0.8333333333333334
33,Fall,2020-2021,2240,On Premises,Not required,1,0.8125
43,Fall,2020-2021,24029,Hybrid,Required for all students,1,0.8192771084337349
45,Fall,2020-2021,29209,Hybrid,Required for all students,1,0.8125
47,Fall,2020-2021,2100,On Premises,Required for all students,1,1.0
98,Fall,2020-2021,2013,Hybrid,Unknown,1,1.0
105,Fall,2020-2021,2240,Online Only,Required for all students,1,0.8125
107,Fall,2020-2021,2016,Hybrid,Required for all students,1,1.0
113,Fall,2020-2021,22113,Hybrid,Required for all students,1,0.8125
114,Fall,2020-2021,45001,Hybrid,Required for all students,1,0.8125
115,Fall,2020-2021,13315,Hybrid,Required for all students,1,0.8214285714285714
116,Fall,2020-2021,1067,Hybrid,Required for all students,1,0.85
121,Fall,2020-2021,1123,Online Only,Unknown,1,0.875
151,Fall,2020-2021,13059,Hybrid,Required for all students,1,0.8372093023255814
162,Fall,2020-2021,13059,Hybrid,Required for all students,1,0.8372093023255814
216,Fall,2020-2021,55103,On Premises,Required for high school students only,1,0.8928571428571429
221,Fall,2020-2021,29013,Hybrid,Required for all students,1,0.8105263157894737
224,Fall,2020-2021,13269,Hybrid,Required for all students,1,0.875
225,Fall,2020-2021,1023,Hybrid,Required for all students,1,0.875
227,Fall,2020-2021,21191,Hybrid,Required for all students,1,0.8409090909090909
244,Fall,2020-2021,13045,Hybrid,Required for all students,1,0.8
246,Fall,2020-2021,21041,Hybrid,Required for all students,1,0.8125
247,Fall,2020-2021,29033,Hybrid,Required for all students,1,0.8421052631578947
248,Fall,2020-2021,39019,Hybrid,Required for all students,1,0.8378378378378378
251,Fall,2020-2021,28015,Hybrid,Required for all students,1,0.8181818181818182
257,Fall,2020-2021,28157,Hybrid,Pending,1,0.85
260,Fall,2020-2021,1097,On Premises,Required for all students,1,0.8181818181818182
261,Fall,2020-2021,39107,On Premises,Required for all students,1,0.8125
284,Fall,2020-2021,51175,On Premises,Required for middle/high school students only,1,0.9166666666666666
287,Fall,2020-2021,28107,On Premises,Required for middle/high school students only,1,0.8214285714285714
288,Fall,2020-2021,20157,On Premises,Required for middle/high school students only,1,0.825
292,Fall,2020-2021,1123,Hybrid,Required for all students,1,0.875
295,Fall,2020-2021,51023,On Premises,Required for all students,1,0.8333333333333334
336,Fall,2020-2021,1063,Online Only,Pending,1,0.8611111111111112
339,Fall,2020-2021,1035,Online Only,Unknown,1,1.0
360,Fall,2020-2021,1057,On Premises,Unknown,1,0.85
363,Fall,2020-2021,28063,On Premises,Unknown,1,0.85
364,Fall,2020-2021,39051,On Premises,Unknown,1,0.8043478260869565
464,Fall,2020-2021,1093,Hybrid,Required for all students,1,0.8522727272727273
465,Fall,2020-2021,48193,Hybrid,Required for all students,1,0.8088235294117647
478,Fall,2020-2021,1085,Online Only,Unknown,1,0.8035714285714286
551,Fall,2020-2021,47135,Hybrid,Required for all students,1,0.8214285714285714
562,Fall,2020-2021,47135,Hybrid,Required for all students,1,0.8214285714285714
634,Fall,2020-2021,1097,Hybrid,Required for all students,1,0.8181818181818182
635,Fall,2020-2021,1097,Hybrid,Required for all students,1,0.8181818181818182
674,Fall,2020-2021,48285,Other,Pending,0,0.8571428571428571
678,Fall,2020-2021,1033,Hybrid,Not required,1,0.8409090909090909
735,Fall,2020-2021,39107,Online Only,Required for all students,1,0.8125
736,Fall,2020-2021,47009,Online Only,Required for all students,1,0.8314606741573034
739,Fall,2020-2021,1037,Online Only,Required for all students,1,0.8055555555555556
740,Fall,2020-2021,16011,Online Only,Required for all students,1,0.8203125
757,Fall,2020-2021,1097,Hybrid,Required for all students,1,0.8181818181818182
758,Fall,2020-2021,1097,Hybrid,Required for all students,1,0.8181818181818182
775,Fall,2020-2021,1033,Hybrid,Required for all students,1,0.8409090909090909
783,Fall,2020-2021,1051,Hybrid,Required for all students,1,0.8214285714285714
818,Fall,2020-2021,1125,On Premises,Pending,1,0.8611111111111112
819,Fall,2020-2021,1125,Hybrid,Required for all students,1,0.8611111111111112
820,Fall,2020-2021,1125,Online Only,Required for middle/high school students only,1,0.8611111111111112
821,Fall,2020-2021,1033,Hybrid,Required for all students,1,0.8409090909090909
822,Fall,2020-2021,29131,Hybrid,Required for all students,1,0.84375
823,Fall,2020-2021,1033,Pending,Pending,0,0.8409090909090909
824,Fall,2020-2021,29131,Pending,Pending,0,0.84375
829,Fall,2020-2021,48487,Hybrid,Required for all students,1,0.8888888888888888
832,Fall,2020-2021,12133,Hybrid,Required for all students,1,0.8571428571428571
835,Fall,2020-2021,4001,Hybrid,Required for all students,1,0.8333333333333334
840,Fall,2020-2021,1051,Online Only,Pending,1,0.8214285714285714
844,Fall,2020-2021,1093,On Premises,Required for all students,1,0.8522727272727273
864,Fall,2020-2021,5019,Hybrid,Required for all students,1,0.875
866,Fall,2020-2021,5019,Hybrid,Unknown,1,0.875
884,Fall,2020-2021,28107,Online Only,Required for all students,1,0.8214285714285714
888,Fall,2020-2021,5031,Hybrid,Required for all students,1,0.8529411764705882
895,Fall,2020-2021,22015,Hybrid,Required for all students,1,0.8181818181818182
896,Fall,2020-2021,21157,Hybrid,Required for all students,1,0.8088235294117647
897,Fall,2020-2021,47139,Hybrid,Required for all students,1,0.8181818181818182
901,Fall,2020-2021,42037,Hybrid,Required for all students,1,0.8070175438596491
903,Fall,2020-2021,19159,Hybrid,Required for all students,1,0.8539325842696629
904,Fall,2020-2021,1085,Hybrid,Required for all students,1,0.8035714285714286
907,Fall,2020-2021,22015,Hybrid,Required for middle/high school students only,1,0.8181818181818182
908,Fall,2020-2021,21157,Hybrid,Required for middle/high school students only,1,0.8088235294117647
909,Fall,2020-2021,47139,Hybrid,Required for middle/high school students only,1,0.8181818181818182
913,Fall,2020-2021,42037,Hybrid,Required for middle/high school students only,1,0.8070175438596491
915,Fall,2020-2021,19159,Hybrid,Required for middle/high school students only,1,0.8539325842696629
916,Fall,2020-2021,1085,Hybrid,Required for middle/high school students only,1,0.8035714285714286
923,Fall,2020-2021,5015,Pending,Pending,0,0.8409090909090909
927,Fall,2020-2021,27105,Pending,Pending,0,0.8041237113402062
949,Fall,2020-2021,5031,Unknown,Pending,0,0.8529411764705882
952,Fall,2020-2021,46057,Hybrid,Required for all students,1,0.9
997,Fall,2020-2021,21181,Hybrid,Required for all students,1,0.8333333333333334
1006,Fall,2020-2021,17177,Hybrid,Required for all students,1,0.8441558441558441
1007,Fall,2020-2021,6049,Hybrid,Required for all students,1,0.8289473684210527
1009,Fall,2020-2021,5029,Hybrid,Required for all students,1,1.0
1020,Fall,2020-2021,5037,Hybrid,Required for all students,1,0.875
1022,Fall,2020-2021,48129,Hybrid,Required for all students,1,0.9166666666666666
1025,Fall,2020-2021,47125,Hybrid,Required for all students,1,0.8064516129032258
1032,Fall,2020-2021,29163,Hybrid,Required for all students,1,0.810126582278481
1033,Fall,2020-2021,26067,Hybrid,Required for all students,1,0.8319327731092437
1040,Fall,2020-2021,47001,On Premises,Required for all students,1,0.8091603053435115
1053,Fall,2020-2021,53029,On Premises,Required for all students,1,0.8151260504201681
1080,Fall,2020-2021,6103,Hybrid,Required for all students,1,0.8440366972477065
1081,Fall,2020-2021,5021,Hybrid,Required for all students,1,0.825
1087,Fall,2020-2021,19115,Hybrid,Pending,1,0.8269230769230769
1088,Fall,2020-2021,5003,Hybrid,Required for middle/high school students only,1,0.8125
1105,Fall,2020-2021,5133,Hybrid,Required for all students,1,0.8333333333333334
1108,Fall,2020-2021,29033,On Premises,Required for middle/high school students only,1,0.8421052631578947
1123,Fall,2020-2021,5059,Hybrid,Required for all students,1,0.8260869565217391
1140,Fall,2020-2021,48341,Hybrid,Required for all students,1,1.0
1141,Fall,2020-2021,5041,Hybrid,Required for all students,1,0.9375
1142,Fall,2020-2021,28139,Hybrid,Required for all students,1,0.8205128205128205
1153,Fall,2020-2021,5015,Hybrid,Required for all students,1,0.8409090909090909
1191,Fall,2020-2021,5089,Hybrid,Required for all students,1,0.8214285714285714
1193,Fall,2020-2021,31027,Hybrid,Pending,1,0.8133333333333334
1208,Fall,2020-2021,5015,Unknown,Required for all students,0,0.8409090909090909
1226,Fall,2020-2021,5019,Hybrid,Required for all students,1,0.875
1231,Fall,2020-2021,5003,Hybrid,Not required,1,0.8125
1234,Fall,2020-2021,17013,Hybrid,Not required,1,0.8333333333333334
1290,Fall,2020-2021,5117,Hybrid,Required for all students,1,0.8214285714285714
1331,Fall,2020-2021,5133,Hybrid,Required for all students,1,0.8333333333333334
1358,Fall,2020-2021,20179,On Premises,Required for middle/high school students only,1,0.8333333333333334
1392,Fall,2020-2021,5031,Online Only,Required for all students,1,0.8529411764705882
1394,Fall,2020-2021,13063,Online Only,Required for all students,1,0.8235294117647058
1397,Fall,2020-2021,5031,Hybrid,Required for all students,1,0.8529411764705882
1399,Fall,2020-2021,13063,Hybrid,Required for all students,1,0.8235294117647058
1402,Fall,2020-2021,5031,Hybrid,Required for all students,1,0.8529411764705882
1404,Fall,2020-2021,13063,Hybrid,Required for all students,1,0.8235294117647058
1407,Fall,2020-2021,5031,Pending,Pending,0,0.8529411764705882
1409,Fall,2020-2021,13063,Pending,Pending,0,0.8235294117647058
1417,Fall,2020-2021,6105,Hybrid,Required for all students,1,0.8507462686567164
1425,Fall,2020-2021,5109,Hybrid,Required for middle/high school students only,1,0.8125
1428,Fall,2020-2021,12023,Hybrid,Pending,1,0.8392857142857143
1432,Fall,2020-2021,13063,Hybrid,Pending,1,0.8235294117647058
1433,Fall,2020-2021,5031,Hybrid,Pending,1,0.8529411764705882
1434,Fall,2020-2021,47001,Hybrid,Pending,1,0.8091603053435115
1435,Fall,2020-2021,19025,Hybrid,Pending,1,0.8
1436,Fall,2020-2021,26113,Hybrid,Pending,1,0.9166666666666666
1437,Fall,2020-2021,48409,Hybrid,Pending,1,0.8303571428571429
1438,Fall,2020-2021,8053,Hybrid,Pending,1,0.9583333333333334
1439,Fall,2020-2021,6049,Hybrid,Pending,1,0.8289473684210527
1440,Fall,2020-2021,46091,Hybrid,Pending,1,0.8125
1456,Fall,2020-2021,5073,On Premises,Required for middle/high school students only,1,0.8214285714285714
1457,Fall,2020-2021,16051,On Premises,Required for middle/high school students only,1,0.8214285714285714
1459,Fall,2020-2021,27165,On Premises,Required for middle/high school students only,1,0.85
1461,Fall,2020-2021,5107,Hybrid,Required for middle/high school students only,1,0.875
1523,Fall,2020-2021,5059,Hybrid,Required for all students,1,0.8260869565217391
1525,Fall,2020-2021,39019,Hybrid,Required for all students,1,0.8378378378378378
1528,Fall,2020-2021,5059,Other,Required for all students,0,0.8260869565217391
1530,Fall,2020-2021,39019,Other,Required for all students,0,0.8378378378378378
1533,Fall,2020-2021,5059,Hybrid,Required for all students,1,0.8260869565217391
1535,Fall,2020-2021,39019,Hybrid,Required for all students,1,0.8378378378378378
1538,Fall,2020-2021,5049,Hybrid,Required for all students,1,1.0
1541,Fall,2020-2021,49009,Hybrid,Required for all students,1,1.0
1553,Fall,2020-2021,5077,Hybrid,Required for all students,1,0.9375
1578,Fall,2020-2021,5055,Hybrid,Required for all students,1,1.0
1591,Fall,2020-2021,5107,Hybrid,Required for all students,1,0.875
1595,Fall,2020-2021,5121,Hybrid,Required for all students,1,0.85
1598,Fall,2020-2021,5041,Hybrid,Required for middle/high school students only,1,0.9375
1599,Fall,2020-2021,12009,Hybrid,Required for all students,1,1.0
1605,Fall,2020-2021,5031,Hybrid,Not required,1,0.8529411764705882
1607,Fall,2020-2021,5043,Hybrid,Required for all students,1,0.8269230769230769
1610,Fall,2020-2021,21231,Hybrid,Required for all students,1,0.8269230769230769
1614,Fall,2020-2021,13159,Hybrid,Required for all students,1,0.8269230769230769
1616,Fall,2020-2021,49037,Hybrid,Required for all students,1,0.8103448275862069
1617,Fall,2020-2021,28077,Hybrid,Required for all students,1,0.8214285714285714
1621,Fall,2020-2021,5043,Hybrid,Unknown,1,0.8269230769230769
1624,Fall,2020-2021,21231,Hybrid,Unknown,1,0.8269230769230769
1628,Fall,2020-2021,13159,Hybrid,Unknown,1,0.8269230769230769
1630,Fall,2020-2021,49037,Hybrid,Unknown,1,0.8103448275862069
1631,Fall,2020-2021,28077,Hybrid,Unknown,1,0.8214285714285714
1634,Fall,2020-2021,5029,Hybrid,Required for all students,1,1.0
1641,Fall,2020-2021,18129,Unknown,Required for all students,0,0.8131868131868132
1644,Fall,2020-2021,48159,Unknown,Required for all students,0,0.810126582278481
1646,Fall,2020-2021,13209,Unknown,Required for all students,0,0.810126582278481
1647,Fall,2020-2021,1097,Unknown,Required for all students,0,0.8181818181818182
1656,Fall,2020-2021,6085,Hybrid,Required for middle/high school students only,1,0.8018867924528302
1670,Fall,2020-2021,18023,Hybrid,Required for all students,1,0.8539325842696629
1674,Fall,2020-2021,47149,On Premises,Required for all students,1,0.8214285714285714
1675,Fall,2020-2021,37091,On Premises,Required for all students,1,0.8928571428571429
1676,Fall,2020-2021,5109,On Premises,Required for all students,1,0.8125
1732,Fall,2020-2021,48001,Hybrid,Unknown,1,0.8333333333333334
1733,Fall,2020-2021,17033,Hybrid,Unknown,1,0.8070175438596491
1737,Fall,2020-2021,5055,On Premises,Unknown,1,1.0
1738,Fall,2020-2021,5055,Hybrid,Required for all students,1,1.0
1747,Fall,2020-2021,54011,Hybrid,Required for middle/high school students only,1,0.8214285714285714
1756,Fall,2020-2021,5021,Hybrid,Required for all students,1,0.825
1765,Fall,2020-2021,5121,Other,Unknown,0,0.85
1789,Fall,2020-2021,5021,Hybrid,Pending,1,0.825
1796,Fall,2020-2021,31037,Hybrid,Required for all students,1,0.875
1802,Fall,2020-2021,31037,Online Only,Required for all students,1,0.875
1835,Fall,2020-2021,6085,Hybrid,Required for middle/high school students only,1,0.8018867924528302
1906,Fall,2020-2021,36087,On Premises,Required for all students,1,0.8076923076923077
1908,Fall,2020-2021,55103,On Premises,Required for all students,1,0.8928571428571429
1909,Fall,2020-2021,5049,On Premises,Required for all students,1,1.0
1911,Fall,2020-2021,47177,On Premises,Required for all students,1,1.0
1912,Fall,2020-2021,20173,On Premises,Required for all students,1,0.8133333333333334
1931,Fall,2020-2021,1085,Pending,Pending,0,0.8035714285714286
1944,Fall,2020-2021,5037,Hybrid,Required for all students,1,0.875
1945,Fall,2020-2021,5089,On Premises,Required for all students,1,0.8214285714285714
1950,Fall,2020-2021,48043,Online Only,Required for all students,1,0.8611111111111112
1953,Fall,2020-2021,8105,Online Only,Required for all students,1,0.90625
1955,Fall,2020-2021,4001,Online Only,Required for all students,1,0.8333333333333334
2022,Fall,2020-2021,48337,Unknown,Required for middle/high school students only,0,0.8214285714285714
2116,Fall,2020-2021,4001,Hybrid,Not required,1,0.8333333333333334
2152,Fall,2020-2021,6089,Hybrid,Pending,1,0.8145695364238411
2155,Fall,2020-2021,16049,Hybrid,Pending,1,0.8541666666666666
2156,Fall,2020-2021,48257,Hybrid,Pending,1,0.8194444444444444
2159,Fall,2020-2021,6089,Hybrid,Required for all students,1,0.8145695364238411
2162,Fall,2020-2021,16049,Hybrid,Required for all students,1,0.8541666666666666
2163,Fall,2020-2021,48257,Hybrid,Required for all students,1,0.8194444444444444
2166,Fall,2020-2021,6089,Pending,Pending,0,0.8145695364238411
2169,Fall,2020-2021,16049,Pending,Pending,0,0.8541666666666666
2170,Fall,2020-2021,48257,Pending,Pending,0,0.8194444444444444
2212,Fall,2020-2021,41061,Online Only,Required for all students,1,0.8068181818181818
2254,Fall,2020-2021,4001,Online Only,Not required,1,0.8333333333333334
2260,Fall,2020-2021,4009,Hybrid,Required for all students,1,0.8558558558558559
2269,Fall,2020-2021,5117,Online Only,Unknown,1,0.8214285714285714
2270,Fall,2020-2021,19115,Online Only,Unknown,1,0.8269230769230769
2272,Fall,2020-2021,38047,Online Only,Unknown,1,0.84375
2274,Fall,2020-2021,4001,Online Only,Unknown,1,0.8333333333333334
2528,Fall,2020-2021,55115,On Premises,Unknown,1,0.8461538461538461
2530,Fall,2020-2021,6025,Online Only,Required for all students,1,0.8617021276595744
2560,Fall,2020-2021,12019,Online Only,Unknown,1,0.9375
2562,Fall,2020-2021,51087,Online Only,Unknown,1,0.8269230769230769
2566,Fall,2020-2021,39123,Online Only,Unknown,1,0.8448275862068966
2567,Fall,2020-2021,19021,Online Only,Unknown,1,0.8125
2579,Fall,2020-2021,4001,Online Only,Required for high school students only,1,0.8333333333333334
2593,Fall,2020-2021,4001,Online Only,Required for all students,1,0.8333333333333334
2700,Fall,2020-2021,47063,Hybrid,Required for all students,1,0.9473684210526315
2706,Fall,2020-2021,46031,Hybrid,Required for all students,1,0.8888888888888888
2717,Fall,2020-2021,6025,Hybrid,Required for all students,1,0.8617021276595744
2729,Fall,2020-2021,53077,Online Only,Required for all students,1,0.8202247191011236
3463,Fall,2020-2021,4009,On Premises,Required for all students,1,0.8558558558558559
3464,Fall,2020-2021,4009,Online Only,Not required,1,0.8558558558558559
3465,Fall,2020-2021,4009,Online Only,Required for all students,1,0.8558558558558559
3565,Fall,2020-2021,4001,Hybrid,Unknown,1,0.8333333333333334
3569,Fall,2020-2021,4009,Online Only,Unknown,1,0.8558558558558559
3570,Fall,2020-2021,4009,Hybrid,Required for all students,1,0.8558558558558559
3571,Fall,2020-2021,4009,Online Only,Not required,1,0.8558558558558559
3588,Fall,2020-2021,4001,Online Only,Unknown,1,0.8333333333333334
3589,Fall,2020-2021,21041,Online Only,Unknown,1,0.8125
3629,Fall,2020-2021,4009,Hybrid,Required for all students,1,0.8558558558558559
3632,Fall,2020-2021,4001,Pending,Pending,0,0.8333333333333334
3634,Fall,2020-2021,37167,On Premises,Required for all students,1,0.8053097345132744
3675,Fall,2020-2021,4001,Online Only,Required for all students,1,0.8333333333333334
3693,Fall,2020-2021,4009,On Premises,Required for all students,1,0.8558558558558559
3776,Fall,2020-2021,8037,Hybrid,Required for all students,1,0.8125
3778,Fall,2020-2021,48487,Hybrid,Unknown,1,0.8888888888888888
3781,Fall,2020-2021,12133,Hybrid,Unknown,1,0.8571428571428571
3784,Fall,2020-2021,4001,Hybrid,Unknown,1,0.8333333333333334
3799,Fall,2020-2021,19079,On Premises,Required for middle/high school students only,1,0.8947368421052632
3801,Fall,2020-2021,27077,On Premises,Required for middle/high school students only,1,1.0
3802,Fall,2020-2021,45029,On Premises,Required for middle/high school students only,1,0.9166666666666666
3807,Fall,2020-2021,17177,Online Only,Unknown,1,0.8441558441558441
3812,Fall,2020-2021,17177,Hybrid,Required for all students,1,0.8441558441558441
3840,Fall,2020-2021,48043,On Premises,Required for all students,1,0.8611111111111112
3843,Fall,2020-2021,8105,On Premises,Required for all students,1,0.90625
3845,Fall,2020-2021,4001,On Premises,Required for all students,1,0.8333333333333334
3846,Fall,2020-2021,19021,Hybrid,Required for all students,1,0.8125
3852,Fall,2020-2021,6049,Other,Required for all students,0,0.8289473684210527
3854,Fall,2020-2021,6049,On Premises,Unknown,1,0.8289473684210527
3862,Fall,2020-2021,6089,Hybrid,Required for all students,1,0.8145695364238411
3868,Fall,2020-2021,48185,Hybrid,Required for all students,1,0.8363636363636363
3872,Fall,2020-2021,6089,Hybrid,Required for middle/high school students only,1,0.8145695364238411
3878,Fall,2020-2021,48185,Hybrid,Required for middle/high school students only,1,0.8363636363636363
3882,Fall,2020-2021,6089,Unknown,Required for all students,0,0.8145695364238411
3888,Fall,2020-2021,48185,Unknown,Required for all students,0,0.8363636363636363
3895,Fall,2020-2021,17033,On Premises,Unknown,1,0.8070175438596491
3924,Fall,2020-2021,6079,Online Only,Not required,1,0.8909090909090909
3927,Fall,2020-2021,6079,Hybrid,Required for all students,1,0.8909090909090909
4044,Fall,2020-2021,23019,Online Only,Unknown,1,0.8055555555555556
4051,Fall,2020-2021,48475,Hybrid,Not required,1,0.9166666666666666
4054,Fall,2020-2021,48391,Online Only,Unknown,1,0.8125
4060,Fall,2020-2021,6089,Online Only,Required for high school students only,1,0.8145695364238411
4078,Fall,2020-2021,5133,Online Only,Pending,1,0.8333333333333334
4095,Fall,2020-2021,6089,On Premises,Required for all students,1,0.8145695364238411
4103,Fall,2020-2021,48355,Hybrid,Required for all students,1,0.8571428571428571
4106,Fall,2020-2021,48355,Hybrid,Unknown,1,0.8571428571428571
4121,Fall,2020-2021,54081,Hybrid,Unknown,1,0.8611111111111112
4122,Fall,2020-2021,5073,Hybrid,Unknown,1,0.8214285714285714
4124,Fall,2020-2021,40051,Hybrid,Unknown,1,0.8076923076923077
4127,Fall,2020-2021,6025,Online Only,Required for all students,1,0.8617021276595744
4128,Fall,2020-2021,6025,Online Only,Unknown,1,0.8617021276595744
4129,Fall,2020-2021,6025,Hybrid,Not required,1,0.8617021276595744
4130,Fall,2020-2021,6025,On Premises,Unknown,1,0.8617021276595744
4185,Fall,2020-2021,6089,Hybrid,Required for high school students only,1,0.8145695364238411
4186,Fall,2020-2021,6105,On Premises,Required for middle/high school students only,1,0.8507462686567164
4205,Fall,2020-2021,6025,Online Only,Required for all students,1,0.8617021276595744
4208,Fall,2020-2021,6025,Online Only,Unknown,1,0.8617021276595744
4212,Fall,2020-2021,6079,Online Only,Unknown,1,0.8909090909090909
4215,Fall,2020-2021,6017,Hybrid,Required for middle/high school students only,1,0.8130841121495327
4216,Fall,2020-2021,6085,Online Only,Required for middle/high school students only,1,0.8018867924528302
4224,Fall,2020-2021,48381,Online Only,Unknown,1,1.0
4231,Fall,2020-2021,48451,Hybrid,Required for all students,1,0.8333333333333334
4240,Fall,2020-2021,6079,Hybrid,Required for all students,1,0.8909090909090909
4246,Fall,2020-2021,17177,Hybrid,Required for all students,1,0.8441558441558441
4247,Fall,2020-2021,6049,Hybrid,Required for all students,1,0.8289473684210527
4253,Fall,2020-2021,5037,Online Only,Not required,1,0.875
4262,Fall,2020-2021,6039,Hybrid,Required for all students,1,0.8235294117647058
4263,Fall,2020-2021,6039,Online Only,Unknown,1,0.8235294117647058
4264,Fall,2020-2021,6039,Online Only,Required for high school students only,1,0.8235294117647058
4287,Fall,2020-2021,51023,Online Only,Unknown,1,0.8333333333333334
4289,Fall,2020-2021,28001,Online Only,Unknown,1,0.875
4290,Fall,2020-2021,41057,Online Only,Unknown,1,0.810126582278481
4313,Fall,2020-2021,18023,Online Only,Unknown,1,0.8539325842696629
4363,Fall,2020-2021,6103,On Premises,Required for all students,1,0.8440366972477065
4364,Fall,2020-2021,5021,On Premises,Required for all students,1,0.825
4370,Fall,2020-2021,6103,On Premises,Required for all students,1,0.8440366972477065
4371,Fall,2020-2021,5021,On Premises,Required for all students,1,0.825
4377,Fall,2020-2021,6103,Hybrid,Required for all students,1,0.8440366972477065
4378,Fall,2020-2021,5021,Hybrid,Required for all students,1,0.825
4384,Fall,2020-2021,6103,Hybrid,Required for middle/high school students only,1,0.8440366972477065
4385,Fall,2020-2021,5021,Hybrid,Required for middle/high school students only,1,0.825
4398,Fall,2020-2021,6089,On Premises,Required for all students,1,0.8145695364238411
4401,Fall,2020-2021,16049,On Premises,Required for all students,1,0.8541666666666666
4402,Fall,2020-2021,48257,On Premises,Required for all students,1,0.8194444444444444
4405,Fall,2020-2021,6089,On Premises,Required for all students,1,0.8145695364238411
4408,Fall,2020-2021,16049,On Premises,Required for all students,1,0.8541666666666666
4409,Fall,2020-2021,48257,On Premises,Required for all students,1,0.8194444444444444
4452,Fall,2020-2021,17177,Online Only,Pending,1,0.8441558441558441
4481,Fall,2020-2021,6105,On Premises,Required for middle/high school students only,1,0.8507462686567164
4509,Fall,2020-2021,6025,Online Only,Required for all students,1,0.8617021276595744
4510,Fall,2020-2021,6025,Online Only,Not required,1,0.8617021276595744
4511,Fall,2020-2021,6025,Other,Unknown,0,0.8617021276595744
4512,Fall,2020-2021,6025,Online Only,Unknown,1,0.8617021276595744
4513,Fall,2020-2021,6025,Online Only,Required for all students,1,0.8617021276595744
4514,Fall,2020-2021,6017,Hybrid,Required for middle/high school students only,1,0.8130841121495327
4515,Fall,2020-2021,6017,Online Only,Required for all students,1,0.8130841121495327
4523,Fall,2020-2021,6021,Unknown,Unknown,0,0.9
4666,Fall,2020-2021,49027,Pending,Pending,0,0.8653846153846154
4670,Fall,2020-2021,29003,Pending,Pending,0,0.875
4673,Fall,2020-2021,12023,Hybrid,Required for all students,1,0.8392857142857143
4674,Fall,2020-2021,37093,Hybrid,Required for all students,1,1.0
4676,Fall,2020-2021,6103,On Premises,Required for all students,1,0.8440366972477065
4698,Fall,2020-2021,26037,Online Only,Required for all students,1,0.84375
4699,Fall,2020-2021,8089,Online Only,Required for all students,1,0.825
4700,Fall,2020-2021,20119,Online Only,Required for all students,1,0.8125
4741,Fall,2020-2021,6089,On Premises,Required for all students,1,0.8145695364238411
4771,Fall,2020-2021,31125,Hybrid,Required for high school students only,1,0.8409090909090909
4772,Fall,2020-2021,38021,Hybrid,Required for high school students only,1,0.9
4775,Fall,2020-2021,31125,Hybrid,Required for all students,1,0.8409090909090909
4776,Fall,2020-2021,38021,Hybrid,Required for all students,1,0.9
4791,Fall,2020-2021,21209,Hybrid,Required for all students,1,0.8235294117647058
4793,Fall,2020-2021,45043,Hybrid,Required for all students,1,0.8235294117647058
4798,Fall,2020-2021,6017,Hybrid,Required for all students,1,0.8130841121495327
4805,Fall,2020-2021,28029,Hybrid,Required for all students,1,0.8253968253968254
4809,Fall,2020-2021,24029,Hybrid,Required for all students,1,0.8192771084337349
4810,Fall,2020-2021,6103,Online Only,Unknown,1,0.8440366972477065
4812,Fall,2020-2021,6085,Online Only,Required for all students,1,0.8018867924528302
4828,Fall,2020-2021,22005,Hybrid,Required for all students,1,1.0
4830,Fall,2020-2021,48177,Hybrid,Required for all students,1,0.8888888888888888
4836,Fall,2020-2021,32027,Hybrid,Unknown,1,0.8
4839,Fall,2020-2021,32027,Hybrid,Required for all students,1,0.8
4842,Fall,2020-2021,32027,Online Only,Required for all students,1,0.8
4845,Fall,2020-2021,32027,Online Only,Required for all students,1,0.8
4848,Fall,2020-2021,32027,Hybrid,Required for all students,1,0.8
4851,Fall,2020-2021,32027,On Premises,Required for all students,1,0.8
4864,Fall,2020-2021,28043,On Premises,Required for all students,1,0.875
4873,Fall,2020-2021,16011,Online Only,Pending,1,0.8203125
4881,Fall,2020-2021,6021,Hybrid,Required for all students,1,0.9
4894,Fall,2020-2021,6105,Hybrid,Required for all students,1,0.8507462686567164
4907,Fall,2020-2021,6025,Online Only,Pending,1,0.8617021276595744
4916,Fall,2020-2021,21075,Online Only,Unknown,1,0.8125
4922,Fall,2020-2021,42087,Online Only,Pending,1,0.8225806451612904
4957,Fall,2020-2021,6025,Pending,Pending,0,0.8617021276595744
4958,Fall,2020-2021,1051,Pending,Pending,0,0.8214285714285714
4971,Fall,2020-2021,6025,Online Only,Required for all students,1,0.8617021276595744
4975,Fall,2020-2021,48371,Online Only,Required for all students,1,0.8571428571428571
5062,Fall,2020-2021,6105,On Premises,Required for all students,1,0.8507462686567164
5127,Fall,2020-2021,48183,Unknown,Required for all students,0,0.8333333333333334
5129,Fall,2020-2021,48183,Hybrid,Required for all students,1,0.8333333333333334
5130,Fall,2020-2021,12019,Online Only,Pending,1,0.9375
5132,Fall,2020-2021,51087,Online Only,Pending,1,0.8269230769230769
5136,Fall,2020-2021,39123,Online Only,Pending,1,0.8448275862068966
5137,Fall,2020-2021,19021,Online Only,Pending,1,0.8125
5196,Fall,2020-2021,12049,Online Only,Pending,1,0.8214285714285714
