,Term,DistrictID,SchoolYear,county_fips,Enrollment,TeachingMethod,StudentMaskPolicy,avg_enr,useit,useit_ind
55087,Fall,108073404,2020-2021,21137,1400.0,Hybrid,Required for high school students only,6605.75,1,0.8
55089,Fall,892131,2020-2021,21137,25449.0,Online Only,Required for middle/high school students only,6605.75,1,0.8
55093,Fall,891234,2020-2021,31139,244.0,Hybrid,Required for middle/high school students only,1720.28125,1,0.875
55096,Fall,891168,2020-2021,48445,282.0,On Premises,Required for middle/high school students only,1052.375,1,0.8125
55097,Fall,891168,2020-2021,49027,282.0,On Premises,Required for middle/high school students only,1462.1153846153845,1,0.8653846153846154
55114,Fall,891678,2020-2021,48327,217.0,Online Only,Required for all students,310.75,1,1.0
55126,Fall,891129,2020-2021,48441,1168.0,Hybrid,Unknown,3419.1111111111113,1,0.8333333333333334
55167,Fall,891679,2020-2021,48399,449.0,On Premises,Required for middle/high school students only,887.125,1,0.8125
55197,Fall,891064,2020-2021,48475,2428.0,On Premises,Required for all students,2879.0,1,0.9166666666666666
55198,Fall,891552,2020-2021,48071,5419.0,Online Only,Required for all students,2163.25,1,0.9375
55201,Fall,891835,2020-2021,48337,166.0,On Premises,Required for middle/high school students only,376.17857142857144,1,0.8214285714285714
55216,Fall,891760,2020-2021,20001,111.0,On Premises,Required for high school students only,543.55,1,0.825
55225,Fall,891236,2020-2021,48195,124.0,Hybrid,Required for middle/high school students only,478.4166666666667,1,1.0
55233,Fall,891477,2020-2021,48285,288.0,On Premises,Required for middle/high school students only,1127.2142857142858,1,0.8571428571428571
55235,Fall,891706,2020-2021,48217,203.0,Hybrid,Required for all students,3384.1360544217687,1,0.8013245033112583
55275,Fall,892063,2020-2021,18129,1367.0,Hybrid,Required for middle/high school students only,2264.736263736264,1,0.8131868131868132
55278,Fall,892063,2020-2021,48159,1367.0,Hybrid,Required for middle/high school students only,1846.7215189873418,1,0.810126582278481
55280,Fall,892063,2020-2021,13209,1367.0,Hybrid,Required for middle/high school students only,1846.7215189873418,1,0.810126582278481
55281,Fall,892063,2020-2021,1097,1367.0,Hybrid,Required for middle/high school students only,4100.656565656565,1,0.8181818181818182
55295,Fall,891920,2020-2021,48347,1156.0,Pending,Pending,971.4285714285714,0,0.8214285714285714
55296,Fall,891919,2020-2021,48347,370.0,Hybrid,Required for all students,971.4285714285714,1,0.8214285714285714
55297,Fall,891921,2020-2021,48347,6405.0,Hybrid,Unknown,971.4285714285714,1,0.8214285714285714
55298,Fall,104294722,2020-2021,48347,246.0,On Premises,Required for all students,971.4285714285714,1,0.8214285714285714
55299,Fall,891898,2020-2021,48347,779.0,Hybrid,Required for middle/high school students only,971.4285714285714,1,0.8214285714285714
55301,Fall,891494,2020-2021,48185,3178.0,On Premises,Required for all students,2917.7818181818184,1,0.8363636363636363
55303,Fall,891237,2020-2021,48069,236.0,On Premises,Required for middle/high school students only,1586.8,1,0.85
55323,Fall,891972,2020-2021,9011,1082.0,Online Only,Unknown,1710.638888888889,1,0.8055555555555556
55330,Fall,891972,2020-2021,37167,1082.0,Online Only,Unknown,1656.4424778761063,1,0.8053097345132744
55337,Fall,891795,2020-2021,48503,233.0,On Premises,Not required,1250.4,1,0.8571428571428571
55351,Fall,891424,2020-2021,48177,1050.0,Hybrid,Required for all students,1499.5,1,0.8888888888888888
55354,Fall,891837,2020-2021,48337,780.0,Hybrid,Required for all students,376.17857142857144,1,0.8214285714285714
55355,Fall,891838,2020-2021,48337,147.0,Hybrid,Required for middle/high school students only,376.17857142857144,1,0.8214285714285714
55364,Fall,891927,2020-2021,39125,200.0,On Premises,Unknown,1051.3541666666667,1,0.8125
55368,Fall,891404,2020-2021,48409,967.0,On Premises,Not required,4505.1875,1,0.8303571428571429
55390,Fall,891796,2020-2021,48503,689.0,On Premises,Unknown,1250.4,1,0.8571428571428571
55417,Fall,891973,2020-2021,48459,950.0,Hybrid,Required for middle/high school students only,891.0555555555555,1,0.8055555555555556
55422,Fall,891640,2020-2021,48105,755.0,Hybrid,Required for middle/high school students only,789.5,1,1.0
55425,Fall,891651,2020-2021,48095,250.0,On Premises,Required for middle/high school students only,3598.875,1,0.8125
55427,Fall,891570,2020-2021,48321,1402.0,Hybrid,Pending,2264.75,1,0.8611111111111112
55428,Fall,891967,2020-2021,48001,405.0,On Premises,Pending,2703.2916666666665,1,0.8333333333333334
55429,Fall,891967,2020-2021,17033,405.0,On Premises,Pending,7142.3859649122805,1,0.8070175438596491
55432,Fall,891945,2020-2021,48001,3512.0,Hybrid,Unknown,2703.2916666666665,1,0.8333333333333334
55433,Fall,891945,2020-2021,17033,3512.0,Hybrid,Unknown,7142.3859649122805,1,0.8070175438596491
55436,Fall,891946,2020-2021,48001,1591.0,Hybrid,Required for all students,2703.2916666666665,1,0.8333333333333334
55437,Fall,891946,2020-2021,17033,1591.0,Hybrid,Required for all students,7142.3859649122805,1,0.8070175438596491
55493,Fall,891066,2020-2021,48389,2684.0,Hybrid,Required for all students,1153.25,1,0.8333333333333334
