,Term,DistrictID,SchoolYear,county_fips,Enrollment,TeachingMethod,StudentMaskPolicy,avg_enr,useit,useit_ind
1,Fall,2442904,2020-2021,2020,16262.25,Hybrid,Required for all students,16262.25,1,0.8461538461538461
3,Fall,888610,2020-2021,2020,27.0,On Premises,Required for all students,16262.25,1,0.8461538461538461
5,Fall,888658,2020-2021,2020,48347.0,Online Only,Pending,16262.25,1,0.8461538461538461
7,Fall,888657,2020-2021,2020,517.0,Online Only,Required for all students,16262.25,1,0.8461538461538461
27,Fall,888609,2020-2021,8081,620.0,On Premises,Not required,850.25,1,0.8333333333333334
33,Fall,888617,2020-2021,2240,792.0,On Premises,Not required,2183.8125,1,0.8125
43,Fall,888619,2020-2021,24029,4313.0,Hybrid,Required for all students,2708.397590361446,1,0.8192771084337349
45,Fall,888619,2020-2021,29209,4313.0,Hybrid,Required for all students,1145.0625,1,0.8125
47,Fall,888600,2020-2021,2100,249.0,On Premises,Required for all students,249.0,1,1.0
98,Fall,888641,2020-2021,2013,219.0,Hybrid,Unknown,221.25,1,1.0
105,Fall,888625,2020-2021,2240,417.0,Online Only,Required for all students,2183.8125,1,0.8125
107,Fall,888611,2020-2021,2016,480.0,Hybrid,Required for all students,482.25,1,1.0
113,Fall,899893,2020-2021,22113,2650.0,Hybrid,Required for all students,4210.1875,1,0.8125
114,Fall,899893,2020-2021,45001,2650.0,Hybrid,Required for all students,4210.1875,1,0.8125
115,Fall,899893,2020-2021,13315,2650.0,Hybrid,Required for all students,2809.035714285714,1,0.8214285714285714
116,Fall,899893,2020-2021,1067,2650.0,Hybrid,Required for all students,3873.2,1,0.85
121,Fall,900000,2020-2021,1123,3055.0,Online Only,Unknown,1962.9375,1,0.875
151,Fall,899946,2020-2021,13059,3874.0,Hybrid,Required for all students,4442.813953488372,1,0.8372093023255814
162,Fall,899945,2020-2021,13059,9470.0,Hybrid,Required for all students,4442.813953488372,1,0.8372093023255814
216,Fall,29489616,2020-2021,55103,2426.0,On Premises,Required for high school students only,979.2857142857143,1,0.8928571428571429
221,Fall,899862,2020-2021,29013,1615.0,Hybrid,Required for all students,8688.168421052631,1,0.8105263157894737
224,Fall,899862,2020-2021,13269,1615.0,Hybrid,Required for all students,1833.65625,1,0.875
225,Fall,899862,2020-2021,1023,1615.0,Hybrid,Required for all students,2346.575,1,0.875
227,Fall,899862,2020-2021,21191,1615.0,Hybrid,Required for all students,1766.8863636363637,1,0.8409090909090909
244,Fall,899966,2020-2021,13045,2966.0,Hybrid,Required for all students,5111.051724137931,1,0.8
246,Fall,899966,2020-2021,21041,2966.0,Hybrid,Required for all students,5333.934782608696,1,0.8125
247,Fall,899966,2020-2021,29033,2966.0,Hybrid,Required for all students,3513.2027027027025,1,0.8421052631578947
248,Fall,899966,2020-2021,39019,2966.0,Hybrid,Required for all students,4529.342857142857,1,0.8378378378378378
251,Fall,899966,2020-2021,28015,2966.0,Hybrid,Required for all students,5768.5952380952385,1,0.8181818181818182
257,Fall,899974,2020-2021,28157,3636.0,Hybrid,Pending,3147.9,1,0.85
260,Fall,91848681,2020-2021,1097,1172.0,On Premises,Required for all students,4100.656565656565,1,0.8181818181818182
261,Fall,91848681,2020-2021,39107,1172.0,On Premises,Required for all students,2775.4166666666665,1,0.8125
284,Fall,107836865,2020-2021,51175,45.0,On Premises,Required for middle/high school students only,1120.0,1,0.9166666666666666
287,Fall,107836865,2020-2021,28107,45.0,On Premises,Required for middle/high school students only,2179.1071428571427,1,0.8214285714285714
288,Fall,107836865,2020-2021,20157,45.0,On Premises,Required for middle/high school students only,1773.4125,1,0.825
292,Fall,899857,2020-2021,1123,3065.0,Hybrid,Required for all students,1962.9375,1,0.875
295,Fall,899894,2020-2021,51023,1106.0,On Premises,Required for all students,1780.888888888889,1,0.8333333333333334
336,Fall,899967,2020-2021,1063,1742.0,Online Only,Pending,2527.4166666666665,1,0.8611111111111112
339,Fall,899902,2020-2021,1035,2336.0,Online Only,Unknown,2267.0,1,1.0
360,Fall,899972,2020-2021,1057,2455.0,On Premises,Unknown,1029.9,1,0.85
363,Fall,899972,2020-2021,28063,2455.0,On Premises,Unknown,1029.9,1,0.85
364,Fall,899972,2020-2021,39051,2455.0,On Premises,Unknown,1493.7826086956522,1,0.8043478260869565
464,Fall,899940,2020-2021,1093,3512.0,Hybrid,Required for all students,2677.943181818182,1,0.8522727272727273
465,Fall,899940,2020-2021,48193,3512.0,Hybrid,Required for all students,2558.6176470588234,1,0.8088235294117647
478,Fall,899906,2020-2021,1085,2130.0,Online Only,Unknown,3408.0,1,0.8035714285714286
551,Fall,899885,2020-2021,47135,499.0,Hybrid,Required for all students,2147.785714285714,1,0.8214285714285714
562,Fall,899884,2020-2021,47135,1062.0,Hybrid,Required for all students,2147.785714285714,1,0.8214285714285714
634,Fall,107521977,2020-2021,1097,285.0,Hybrid,Required for all students,4100.656565656565,1,0.8181818181818182
635,Fall,899878,2020-2021,1097,59099.0,Hybrid,Required for all students,4100.656565656565,1,0.8181818181818182
674,Fall,899950,2020-2021,48285,5460.0,Other,Pending,1127.2142857142858,0,0.8571428571428571
678,Fall,899954,2020-2021,1033,3377.0,Hybrid,Not required,1254.409090909091,1,0.8409090909090909
735,Fall,899983,2020-2021,39107,1100.0,Online Only,Required for all students,2775.4166666666665,1,0.8125
736,Fall,899983,2020-2021,47009,1100.0,Online Only,Required for all students,8422.112359550561,1,0.8314606741573034
739,Fall,899983,2020-2021,1037,1100.0,Online Only,Required for all students,5252.944444444444,1,0.8055555555555556
740,Fall,899983,2020-2021,16011,1100.0,Online Only,Required for all students,4054.968253968254,1,0.8203125
757,Fall,69692191,2020-2021,1097,3098.0,Hybrid,Required for all students,4100.656565656565,1,0.8181818181818182
758,Fall,91442715,2020-2021,1097,1435.0,Hybrid,Required for all students,4100.656565656565,1,0.8181818181818182
775,Fall,899953,2020-2021,1033,1155.0,Hybrid,Required for all students,1254.409090909091,1,0.8409090909090909
783,Fall,899909,2020-2021,1051,1745.0,Hybrid,Required for all students,3026.214285714286,1,0.8214285714285714
818,Fall,107518272,2020-2021,1125,40.0,On Premises,Pending,4631.222222222223,1,0.8611111111111112
819,Fall,899965,2020-2021,1125,10032.0,Hybrid,Required for all students,4631.222222222223,1,0.8611111111111112
820,Fall,899964,2020-2021,1125,18383.0,Online Only,Required for middle/high school students only,4631.222222222223,1,0.8611111111111112
821,Fall,899922,2020-2021,1033,2935.0,Hybrid,Required for all students,1254.409090909091,1,0.8409090909090909
822,Fall,899922,2020-2021,29131,2935.0,Hybrid,Required for all students,1679.0,1,0.84375
823,Fall,899955,2020-2021,1033,1968.0,Pending,Pending,1254.409090909091,0,0.8409090909090909
824,Fall,899955,2020-2021,29131,1968.0,Pending,Pending,1679.0,0,0.84375
829,Fall,899941,2020-2021,48487,2675.0,Hybrid,Required for all students,1741.5555555555557,1,0.8888888888888888
832,Fall,899941,2020-2021,12133,2675.0,Hybrid,Required for all students,2730.3142857142857,1,0.8571428571428571
835,Fall,899941,2020-2021,4001,2675.0,Hybrid,Required for all students,3304.1041666666665,1,0.8333333333333334
840,Fall,899914,2020-2021,1051,11793.0,Online Only,Pending,3026.214285714286,1,0.8214285714285714
844,Fall,899942,2020-2021,1093,1269.0,On Premises,Required for all students,2677.943181818182,1,0.8522727272727273
864,Fall,893001,2020-2021,5019,973.0,Hybrid,Required for all students,916.3333333333334,1,0.875
866,Fall,893002,2020-2021,5019,1985.0,Hybrid,Unknown,916.3333333333334,1,0.875
884,Fall,892850,2020-2021,28107,2913.0,Online Only,Required for all students,2179.1071428571427,1,0.8214285714285714
888,Fall,892887,2020-2021,5031,597.0,Hybrid,Required for all students,5604.455882352941,1,0.8529411764705882
895,Fall,892969,2020-2021,22015,5449.0,Hybrid,Required for all students,3794.4545454545455,1,0.8181818181818182
896,Fall,892969,2020-2021,21157,5449.0,Hybrid,Required for all students,2723.823529411765,1,0.8088235294117647
897,Fall,892969,2020-2021,47139,5449.0,Hybrid,Required for all students,3794.4545454545455,1,0.8181818181818182
901,Fall,892969,2020-2021,42037,5449.0,Hybrid,Required for all students,2296.059523809524,1,0.8070175438596491
903,Fall,892969,2020-2021,19159,5449.0,Hybrid,Required for all students,2789.876404494382,1,0.8539325842696629
904,Fall,892969,2020-2021,1085,5449.0,Hybrid,Required for all students,3408.0,1,0.8035714285714286
907,Fall,892967,2020-2021,22015,1292.0,Hybrid,Required for middle/high school students only,3794.4545454545455,1,0.8181818181818182
908,Fall,892967,2020-2021,21157,1292.0,Hybrid,Required for middle/high school students only,2723.823529411765,1,0.8088235294117647
909,Fall,892967,2020-2021,47139,1292.0,Hybrid,Required for middle/high school students only,3794.4545454545455,1,0.8181818181818182
913,Fall,892967,2020-2021,42037,1292.0,Hybrid,Required for middle/high school students only,2296.059523809524,1,0.8070175438596491
915,Fall,892967,2020-2021,19159,1292.0,Hybrid,Required for middle/high school students only,2789.876404494382,1,0.8539325842696629
916,Fall,892967,2020-2021,1085,1292.0,Hybrid,Required for middle/high school students only,3408.0,1,0.8035714285714286
923,Fall,892843,2020-2021,5015,1929.0,Pending,Pending,1469.2272727272727,0,0.8409090909090909
927,Fall,892968,2020-2021,27105,619.0,Pending,Pending,1651.6288659793815,0,0.8041237113402062
949,Fall,892891,2020-2021,5031,2737.0,Unknown,Pending,5604.455882352941,0,0.8529411764705882
952,Fall,892972,2020-2021,46057,9471.0,Hybrid,Required for all students,2328.2,1,0.9
997,Fall,892974,2020-2021,21181,733.0,Hybrid,Required for all students,1828.6666666666667,1,0.8333333333333334
1006,Fall,892757,2020-2021,17177,777.0,Hybrid,Required for all students,1703.0133333333333,1,0.8441558441558441
1007,Fall,892757,2020-2021,6049,777.0,Hybrid,Required for all students,1753.5135135135135,1,0.8289473684210527
1009,Fall,892976,2020-2021,5029,491.0,Hybrid,Required for all students,1461.5,1,1.0
1020,Fall,892897,2020-2021,5037,610.0,Hybrid,Required for all students,3867.1875,1,0.875
1022,Fall,892977,2020-2021,48129,561.0,Hybrid,Required for all students,376.4166666666667,1,0.9166666666666666
1025,Fall,892796,2020-2021,47125,2548.0,Hybrid,Required for all students,5849.666666666667,1,0.8064516129032258
1032,Fall,892796,2020-2021,29163,2548.0,Hybrid,Required for all students,3901.1794871794873,1,0.810126582278481
1033,Fall,892796,2020-2021,26067,2548.0,Hybrid,Required for all students,5076.0847457627115,1,0.8319327731092437
1040,Fall,892978,2020-2021,47001,1424.0,On Premises,Required for all students,2358.343511450382,1,0.8091603053435115
1053,Fall,892978,2020-2021,53029,1424.0,On Premises,Required for all students,2215.4873949579833,1,0.8151260504201681
1080,Fall,892892,2020-2021,6103,638.0,Hybrid,Required for all students,1828.648148148148,1,0.8440366972477065
1081,Fall,892892,2020-2021,5021,638.0,Hybrid,Required for all students,702.975,1,0.825
1087,Fall,892844,2020-2021,19115,773.0,Hybrid,Pending,1313.4038461538462,1,0.8269230769230769
1088,Fall,893081,2020-2021,5003,1881.0,Hybrid,Required for middle/high school students only,4356.723214285715,1,0.8125
1105,Fall,893011,2020-2021,5133,2496.0,Hybrid,Required for all students,3079.0833333333335,1,0.8333333333333334
1108,Fall,892952,2020-2021,29033,1291.0,On Premises,Required for middle/high school students only,3513.2027027027025,1,0.8421052631578947
1123,Fall,893007,2020-2021,5059,514.0,Hybrid,Required for all students,1488.3636363636363,1,0.8260869565217391
1140,Fall,893083,2020-2021,48341,1369.0,Hybrid,Required for all students,2084.5833333333335,1,1.0
1141,Fall,893083,2020-2021,5041,1369.0,Hybrid,Required for all students,2479.625,1,0.9375
1142,Fall,893083,2020-2021,28139,1369.0,Hybrid,Required for all students,3693.3846153846152,1,0.8205128205128205
1153,Fall,892818,2020-2021,5015,640.0,Hybrid,Required for all students,1469.2272727272727,1,0.8409090909090909
1191,Fall,892820,2020-2021,5089,967.0,Hybrid,Required for all students,1734.5714285714287,1,0.8214285714285714
1193,Fall,893051,2020-2021,31027,860.0,Hybrid,Pending,1189.8266666666666,1,0.8133333333333334
1208,Fall,892821,2020-2021,5015,1460.0,Unknown,Required for all students,1469.2272727272727,0,0.8409090909090909
1226,Fall,893052,2020-2021,5019,820.0,Hybrid,Required for all students,916.3333333333334,1,0.875
1231,Fall,893088,2020-2021,5003,2194.0,Hybrid,Not required,4356.723214285715,1,0.8125
1234,Fall,893088,2020-2021,17013,2194.0,Hybrid,Not required,1404.8833333333334,1,0.8333333333333334
1290,Fall,892959,2020-2021,5117,706.0,Hybrid,Required for all students,783.1428571428571,1,0.8214285714285714
1331,Fall,893018,2020-2021,5133,863.0,Hybrid,Required for all students,3079.0833333333335,1,0.8333333333333334
1358,Fall,892896,2020-2021,20179,867.0,On Premises,Required for middle/high school students only,516.3333333333334,1,0.8333333333333334
1392,Fall,892883,2020-2021,5031,7370.0,Online Only,Required for all students,5604.455882352941,1,0.8529411764705882
1394,Fall,892883,2020-2021,13063,7370.0,Online Only,Required for all students,4291.313725490196,1,0.8235294117647058
1397,Fall,892884,2020-2021,5031,3578.0,Hybrid,Required for all students,5604.455882352941,1,0.8529411764705882
1399,Fall,892884,2020-2021,13063,3578.0,Hybrid,Required for all students,4291.313725490196,1,0.8235294117647058
1402,Fall,892885,2020-2021,5031,3471.0,Hybrid,Required for all students,5604.455882352941,1,0.8529411764705882
1404,Fall,892885,2020-2021,13063,3471.0,Hybrid,Required for all students,4291.313725490196,1,0.8235294117647058
1407,Fall,892886,2020-2021,5031,1720.0,Pending,Pending,5604.455882352941,0,0.8529411764705882
1409,Fall,892886,2020-2021,13063,1720.0,Pending,Pending,4291.313725490196,0,0.8235294117647058
1417,Fall,893055,2020-2021,6105,901.0,Hybrid,Required for all students,1436.3432835820895,1,0.8507462686567164
1425,Fall,893010,2020-2021,5109,389.0,Hybrid,Required for middle/high school students only,7717.375,1,0.8125
1428,Fall,892864,2020-2021,12023,754.0,Hybrid,Pending,2735.089285714286,1,0.8392857142857143
1432,Fall,892864,2020-2021,13063,754.0,Hybrid,Pending,4291.313725490196,1,0.8235294117647058
1433,Fall,892864,2020-2021,5031,754.0,Hybrid,Pending,5604.455882352941,1,0.8529411764705882
1434,Fall,892864,2020-2021,47001,754.0,Hybrid,Pending,2358.343511450382,1,0.8091603053435115
1435,Fall,892864,2020-2021,19025,754.0,Hybrid,Pending,1828.9833333333333,1,0.8
1436,Fall,892864,2020-2021,26113,754.0,Hybrid,Pending,2958.6944444444443,1,0.9166666666666666
1437,Fall,892864,2020-2021,48409,754.0,Hybrid,Pending,4505.1875,1,0.8303571428571429
1438,Fall,892864,2020-2021,8053,754.0,Hybrid,Pending,2976.25,1,0.9583333333333334
1439,Fall,892864,2020-2021,6049,754.0,Hybrid,Pending,1753.5135135135135,1,0.8289473684210527
1440,Fall,892864,2020-2021,46091,754.0,Hybrid,Pending,2776.5208333333335,1,0.8125
1456,Fall,893019,2020-2021,5073,626.0,On Premises,Required for middle/high school students only,11927.57142857143,1,0.8214285714285714
1457,Fall,893019,2020-2021,16051,626.0,On Premises,Required for middle/high school students only,12273.57142857143,1,0.8214285714285714
1459,Fall,893019,2020-2021,27165,626.0,On Premises,Required for middle/high school students only,8335.9,1,0.85
1461,Fall,892927,2020-2021,5107,862.0,Hybrid,Required for middle/high school students only,633.0,1,0.875
1523,Fall,892935,2020-2021,5059,1067.0,Hybrid,Required for all students,1488.3636363636363,1,0.8260869565217391
1525,Fall,892935,2020-2021,39019,1067.0,Hybrid,Required for all students,4529.342857142857,1,0.8378378378378378
1528,Fall,892933,2020-2021,5059,705.0,Other,Required for all students,1488.3636363636363,0,0.8260869565217391
1530,Fall,892933,2020-2021,39019,705.0,Other,Required for all students,4529.342857142857,0,0.8378378378378378
1533,Fall,892934,2020-2021,5059,2132.0,Hybrid,Required for all students,1488.3636363636363,1,0.8260869565217391
1535,Fall,892934,2020-2021,39019,2132.0,Hybrid,Required for all students,4529.342857142857,1,0.8378378378378378
1538,Fall,892861,2020-2021,5049,503.0,Hybrid,Required for all students,478.0,1,1.0
1541,Fall,892866,2020-2021,49009,1163.0,Hybrid,Required for all students,693.5,1,1.0
1553,Fall,892906,2020-2021,5077,656.0,Hybrid,Required for all students,2542.3125,1,0.9375
1578,Fall,892867,2020-2021,5055,844.0,Hybrid,Required for all students,2750.6666666666665,1,1.0
1591,Fall,892909,2020-2021,5107,419.0,Hybrid,Required for all students,633.0,1,0.875
1595,Fall,892868,2020-2021,5121,502.0,Hybrid,Required for all students,1020.05,1,0.85
1598,Fall,893063,2020-2021,5041,1256.0,Hybrid,Required for middle/high school students only,2479.625,1,0.9375
1599,Fall,892862,2020-2021,12009,872.0,Hybrid,Required for all students,1465.5,1,1.0
1605,Fall,892869,2020-2021,5031,805.0,Hybrid,Not required,5604.455882352941,1,0.8529411764705882
1607,Fall,893065,2020-2021,5043,1211.0,Hybrid,Required for all students,2624.403846153846,1,0.8269230769230769
1610,Fall,893065,2020-2021,21231,1211.0,Hybrid,Required for all students,1937.6153846153845,1,0.8269230769230769
1614,Fall,893065,2020-2021,13159,1211.0,Hybrid,Required for all students,1937.6153846153845,1,0.8269230769230769
1616,Fall,893065,2020-2021,49037,1211.0,Hybrid,Required for all students,1963.4655172413793,1,0.8103448275862069
1617,Fall,893065,2020-2021,28077,1211.0,Hybrid,Required for all students,1881.7857142857142,1,0.8214285714285714
1621,Fall,893064,2020-2021,5043,2393.0,Hybrid,Unknown,2624.403846153846,1,0.8269230769230769
1624,Fall,893064,2020-2021,21231,2393.0,Hybrid,Unknown,1937.6153846153845,1,0.8269230769230769
1628,Fall,893064,2020-2021,13159,2393.0,Hybrid,Unknown,1937.6153846153845,1,0.8269230769230769
1630,Fall,893064,2020-2021,49037,2393.0,Hybrid,Unknown,1963.4655172413793,1,0.8103448275862069
1631,Fall,893064,2020-2021,28077,2393.0,Hybrid,Unknown,1881.7857142857142,1,0.8214285714285714
1634,Fall,892937,2020-2021,5029,2432.0,Hybrid,Required for all students,1461.5,1,1.0
1641,Fall,892938,2020-2021,18129,522.0,Unknown,Required for all students,2264.736263736264,0,0.8131868131868132
1644,Fall,892938,2020-2021,48159,522.0,Unknown,Required for all students,1846.7215189873418,0,0.810126582278481
1646,Fall,892938,2020-2021,13209,522.0,Unknown,Required for all students,1846.7215189873418,0,0.810126582278481
1647,Fall,892938,2020-2021,1097,522.0,Unknown,Required for all students,4100.656565656565,0,0.8181818181818182
1656,Fall,892832,2020-2021,6085,1799.0,Hybrid,Required for middle/high school students only,5668.215311004785,1,0.8018867924528302
1670,Fall,892766,2020-2021,18023,629.0,Hybrid,Required for all students,2023.8295454545455,1,0.8539325842696629
1674,Fall,892983,2020-2021,47149,721.0,On Premises,Required for all students,9705.642857142857,1,0.8214285714285714
1675,Fall,892983,2020-2021,37091,721.0,On Premises,Required for all students,9022.607142857143,1,0.8928571428571429
1676,Fall,892983,2020-2021,5109,721.0,On Premises,Required for all students,7717.375,1,0.8125
1732,Fall,892911,2020-2021,48001,818.0,Hybrid,Unknown,2703.2916666666665,1,0.8333333333333334
1733,Fall,892911,2020-2021,17033,818.0,Hybrid,Unknown,7142.3859649122805,1,0.8070175438596491
1737,Fall,892870,2020-2021,5055,3845.0,On Premises,Unknown,2750.6666666666665,1,1.0
1738,Fall,892871,2020-2021,5055,3563.0,Hybrid,Required for all students,2750.6666666666665,1,1.0
1747,Fall,892817,2020-2021,54011,2052.0,Hybrid,Required for middle/high school students only,4423.785714285715,1,0.8214285714285714
1756,Fall,892872,2020-2021,5021,940.0,Hybrid,Required for all students,702.975,1,0.825
1765,Fall,892873,2020-2021,5121,2181.0,Other,Unknown,1020.05,0,0.85
1789,Fall,892875,2020-2021,5021,681.0,Hybrid,Pending,702.975,1,0.825
1796,Fall,107644514,2020-2021,31037,790.0,Hybrid,Required for all students,3462.1041666666665,1,0.875
1802,Fall,892785,2020-2021,31037,17266.0,Online Only,Required for all students,3462.1041666666665,1,0.875
1835,Fall,893021,2020-2021,6085,416.0,Hybrid,Required for middle/high school students only,5668.215311004785,1,0.8018867924528302
1906,Fall,892838,2020-2021,36087,430.0,On Premises,Required for all students,5797.144736842105,1,0.8076923076923077
1908,Fall,892838,2020-2021,55103,430.0,On Premises,Required for all students,979.2857142857143,1,0.8928571428571429
1909,Fall,892838,2020-2021,5049,430.0,On Premises,Required for all students,478.0,1,1.0
1911,Fall,892838,2020-2021,47177,430.0,On Premises,Required for all students,695.25,1,1.0
1912,Fall,892838,2020-2021,20173,430.0,On Premises,Required for all students,5427.293333333333,1,0.8133333333333334
1931,Fall,893077,2020-2021,1085,2944.0,Pending,Pending,3408.0,0,0.8035714285714286
1944,Fall,892882,2020-2021,5037,2772.0,Hybrid,Required for all students,3867.1875,1,0.875
1945,Fall,892805,2020-2021,5089,802.0,On Premises,Required for all students,1734.5714285714287,1,0.8214285714285714
1950,Fall,890462,2020-2021,48043,60.0,Online Only,Required for all students,590.0833333333334,1,0.8611111111111112
1953,Fall,890462,2020-2021,8105,60.0,Online Only,Required for all students,708.03125,1,0.90625
1955,Fall,890462,2020-2021,4001,60.0,Online Only,Required for all students,3304.1041666666665,1,0.8333333333333334
2022,Fall,890514,2020-2021,48337,73.0,Unknown,Required for middle/high school students only,376.17857142857144,0,0.8214285714285714
2116,Fall,890389,2020-2021,4001,3728.0,Hybrid,Not required,3304.1041666666665,1,0.8333333333333334
2152,Fall,93766690,2020-2021,6089,500.0,Hybrid,Pending,1841.2649006622516,1,0.8145695364238411
2155,Fall,93766690,2020-2021,16049,500.0,Hybrid,Pending,1089.5208333333333,1,0.8541666666666666
2156,Fall,93766690,2020-2021,48257,500.0,Hybrid,Pending,2646.9166666666665,1,0.8194444444444444
2159,Fall,890432,2020-2021,6089,1740.0,Hybrid,Required for all students,1841.2649006622516,1,0.8145695364238411
2162,Fall,890432,2020-2021,16049,1740.0,Hybrid,Required for all students,1089.5208333333333,1,0.8541666666666666
2163,Fall,890432,2020-2021,48257,1740.0,Hybrid,Required for all students,2646.9166666666665,1,0.8194444444444444
2166,Fall,890433,2020-2021,6089,1200.0,Pending,Pending,1841.2649006622516,0,0.8145695364238411
2169,Fall,890433,2020-2021,16049,1200.0,Pending,Pending,1089.5208333333333,0,0.8541666666666666
2170,Fall,890433,2020-2021,48257,1200.0,Pending,Pending,2646.9166666666665,0,0.8194444444444444
2212,Fall,890487,2020-2021,41061,115.0,Online Only,Required for all students,4646.534090909091,1,0.8068181818181818
2254,Fall,890390,2020-2021,4001,2208.0,Online Only,Not required,3304.1041666666665,1,0.8333333333333334
2260,Fall,890532,2020-2021,4009,619.0,Hybrid,Required for all students,5679.220183486239,1,0.8558558558558559
2269,Fall,890445,2020-2021,5117,204.0,Online Only,Unknown,783.1428571428571,1,0.8214285714285714
2270,Fall,890445,2020-2021,19115,204.0,Online Only,Unknown,1313.4038461538462,1,0.8269230769230769
2272,Fall,890445,2020-2021,38047,204.0,Online Only,Unknown,1040.25,1,0.84375
2274,Fall,890391,2020-2021,4001,1718.0,Online Only,Unknown,3304.1041666666665,1,0.8333333333333334
2528,Fall,890501,2020-2021,55115,540.0,On Premises,Unknown,5031.865384615385,1,0.8461538461538461
2530,Fall,890465,2020-2021,6025,504.0,Online Only,Required for all students,2034.6304347826087,1,0.8617021276595744
2560,Fall,890466,2020-2021,12019,2508.0,Online Only,Unknown,12450.9375,1,0.9375
2562,Fall,890466,2020-2021,51087,2508.0,Online Only,Unknown,2139.846153846154,1,0.8269230769230769
2566,Fall,890466,2020-2021,39123,2508.0,Online Only,Unknown,2162.051724137931,1,0.8448275862068966
2567,Fall,890466,2020-2021,19021,2508.0,Online Only,Unknown,1243.8958333333333,1,0.8125
2579,Fall,96925873,2020-2021,4001,430.0,Online Only,Required for high school students only,3304.1041666666665,1,0.8333333333333334
2593,Fall,890467,2020-2021,4001,138.0,Online Only,Required for all students,3304.1041666666665,1,0.8333333333333334
2700,Fall,890564,2020-2021,47063,122.0,Hybrid,Required for all students,3511.684210526316,1,0.9473684210526315
2706,Fall,890564,2020-2021,46031,122.0,Hybrid,Required for all students,2492.222222222222,1,0.8888888888888888
2717,Fall,890565,2020-2021,6025,470.0,Hybrid,Required for all students,2034.6304347826087,1,0.8617021276595744
2729,Fall,890566,2020-2021,53077,2070.0,Online Only,Required for all students,3086.1136363636365,1,0.8202247191011236
3463,Fall,93716683,2020-2021,4009,119.0,On Premises,Required for all students,5679.220183486239,1,0.8558558558558559
3464,Fall,107644173,2020-2021,4009,90.0,Online Only,Not required,5679.220183486239,1,0.8558558558558559
3465,Fall,890535,2020-2021,4009,875.0,Online Only,Required for all students,5679.220183486239,1,0.8558558558558559
3565,Fall,96932168,2020-2021,4001,387.0,Hybrid,Unknown,3304.1041666666665,1,0.8333333333333334
3569,Fall,107644194,2020-2021,4009,5679.220183486239,Online Only,Unknown,5679.220183486239,1,0.8558558558558559
3570,Fall,890504,2020-2021,4009,3203.0,Hybrid,Required for all students,5679.220183486239,1,0.8558558558558559
3571,Fall,107522188,2020-2021,4009,102.0,Online Only,Not required,5679.220183486239,1,0.8558558558558559
3588,Fall,890393,2020-2021,4001,860.0,Online Only,Unknown,3304.1041666666665,1,0.8333333333333334
3589,Fall,890393,2020-2021,21041,860.0,Online Only,Unknown,5333.934782608696,1,0.8125
3629,Fall,890507,2020-2021,4009,210.0,Hybrid,Required for all students,5679.220183486239,1,0.8558558558558559
3632,Fall,890438,2020-2021,4001,1469.0,Pending,Pending,3304.1041666666665,0,0.8333333333333334
3634,Fall,890594,2020-2021,37167,550.0,On Premises,Required for all students,1656.4424778761063,1,0.8053097345132744
3675,Fall,890394,2020-2021,4001,514.0,Online Only,Required for all students,3304.1041666666665,1,0.8333333333333334
3693,Fall,890508,2020-2021,4009,1708.0,On Premises,Required for all students,5679.220183486239,1,0.8558558558558559
3776,Fall,890477,2020-2021,8037,12863.0,Hybrid,Required for all students,3556.5625,1,0.8125
3778,Fall,890439,2020-2021,48487,103.0,Hybrid,Unknown,1741.5555555555557,1,0.8888888888888888
3781,Fall,890439,2020-2021,12133,103.0,Hybrid,Unknown,2730.3142857142857,1,0.8571428571428571
3784,Fall,890439,2020-2021,4001,103.0,Hybrid,Unknown,3304.1041666666665,1,0.8333333333333334
3799,Fall,890422,2020-2021,19079,709.0,On Premises,Required for middle/high school students only,1091.3552631578948,1,0.8947368421052632
3801,Fall,890422,2020-2021,27077,709.0,On Premises,Required for middle/high school students only,840.3333333333334,1,1.0
3802,Fall,890422,2020-2021,45029,709.0,On Premises,Required for middle/high school students only,3169.0,1,0.9166666666666666
3807,Fall,96925707,2020-2021,17177,260.0,Online Only,Unknown,1703.0133333333333,1,0.8441558441558441
3812,Fall,890423,2020-2021,17177,2035.0,Hybrid,Required for all students,1703.0133333333333,1,0.8441558441558441
3840,Fall,890161,2020-2021,48043,1270.0,On Premises,Required for all students,590.0833333333334,1,0.8611111111111112
3843,Fall,890161,2020-2021,8105,1270.0,On Premises,Required for all students,708.03125,1,0.90625
3845,Fall,890161,2020-2021,4001,1270.0,On Premises,Required for all students,3304.1041666666665,1,0.8333333333333334
3846,Fall,889363,2020-2021,19021,109.0,Hybrid,Required for all students,1243.8958333333333,1,0.8125
3852,Fall,107829814,2020-2021,6049,1753.5135135135135,Other,Required for all students,1753.5135135135135,0,0.8289473684210527
3854,Fall,889219,2020-2021,6049,894.0,On Premises,Unknown,1753.5135135135135,1,0.8289473684210527
3862,Fall,889295,2020-2021,6089,1838.0,Hybrid,Required for all students,1841.2649006622516,1,0.8145695364238411
3868,Fall,889295,2020-2021,48185,1838.0,Hybrid,Required for all students,2917.7818181818184,1,0.8363636363636363
3872,Fall,889294,2020-2021,6089,1112.0,Hybrid,Required for middle/high school students only,1841.2649006622516,1,0.8145695364238411
