,NCESDistrictID,Covid Cases,TimePeriodStart,TimePeriodEnd,StateName,StateAbbrev,EnrollmentTotal,StudentMaskPolicy
74,4812240,0.0,2020-11-30,2021-05-09,Texas,TX,479.0,Required at least part of school year
75,4812420,0.0,2020-11-30,2021-05-09,Texas,TX,3967.0,Required full school year
76,4812460,0.0,2020-11-30,2021-05-09,Texas,TX,1707.0,Not required
77,4812510,0.0,2020-11-30,2021-05-09,Texas,TX,1136.0,Required at least part of school year
78,4812870,0.0,2020-11-30,2021-05-09,Texas,TX,567.0,Required full school year
79,4813230,0.0,2020-11-30,2021-05-09,Texas,TX,7273.0,Required full school year
80,4813320,0.0,2020-11-30,2021-05-09,Texas,TX,2492.0,Required at least part of school year
81,4813440,23.0,2020-11-30,2021-05-09,Texas,TX,1119.0,Required at least part of school year
82,4813980,0.0,2020-11-30,2021-05-09,Texas,TX,394.0,Required at least part of school year
83,4814070,0.0,2020-11-30,2021-05-09,Texas,TX,840.0,Required full school year
84,4814130,0.0,2020-11-30,2021-05-09,Texas,TX,1022.0,Required full school year
85,4814250,6.0,2020-11-30,2021-05-09,Texas,TX,316.0,Required at least part of school year
86,4814430,0.0,2020-11-30,2021-05-09,Texas,TX,10679.0,Required full school year
87,4814450,0.0,2020-11-30,2021-05-09,Texas,TX,1395.0,Required at least part of school year
88,4814520,0.0,2020-11-30,2021-05-09,Texas,TX,1530.0,Required at least part of school year
89,4814700,0.0,2020-11-30,2021-05-09,Texas,TX,1526.0,Required at least part of school year
90,4815180,0.0,2020-11-30,2021-05-09,Texas,TX,7173.0,Required at least part of school year
91,4815400,7.0,2020-11-30,2021-05-09,Texas,TX,1265.0,Required full school year
92,4815570,0.0,2020-11-30,2021-05-09,Texas,TX,129.0,Required at least part of school year
93,4815690,0.0,2020-11-30,2021-05-09,Texas,TX,764.0,Required at least part of school year
94,4815720,0.0,2020-11-30,2021-05-09,Texas,TX,1269.0,Required at least part of school year
95,4815870,0.0,2020-11-30,2021-05-09,Texas,TX,201.0,Required full school year
96,4815960,0.0,2020-11-30,2021-05-09,Texas,TX,1909.0,Required full school year
97,4816230,39.0,2020-11-30,2021-05-09,Texas,TX,145519.0,Required full school year
98,4816290,0.0,2020-11-30,2021-05-09,Texas,TX,756.0,Required full school year
99,4816320,0.0,2020-11-30,2021-05-09,Texas,TX,139.0,Required at least part of school year
100,4816350,0.0,2020-11-30,2021-05-09,Texas,TX,153.0,Required at least part of school year
101,4816380,0.0,2020-11-30,2021-05-09,Texas,TX,509.0,Required at least part of school year
102,4816890,0.0,2020-11-30,2021-05-09,Texas,TX,514.0,Required at least part of school year
103,4817010,0.0,2020-11-30,2021-05-09,Texas,TX,531.0,Required full school year
104,4817040,22.0,2020-11-30,2021-05-09,Texas,TX,1675.0,Required full school year
105,4817070,39.0,2020-11-30,2021-05-09,Texas,TX,11634.0,Required full school year
106,4817100,8.0,2020-11-30,2021-05-09,Texas,TX,938.0,Required full school year
107,4817130,0.0,2020-11-30,2021-05-09,Texas,TX,165.0,Required full school year
108,4817390,0.0,2020-11-30,2021-05-09,Texas,TX,13856.0,Required at least part of school year
109,4817700,414.0,2020-11-30,2021-05-09,Texas,TX,21327.0,Required full school year
110,4817830,6.0,2020-11-30,2021-05-09,Texas,TX,920.0,Required full school year
111,4818060,0.0,2020-11-30,2021-05-09,Texas,TX,4540.0,Required full school year
112,4818070,0.0,2020-11-30,2021-05-09,Texas,TX,233.0,Required full school year
113,4818180,0.0,2020-11-30,2021-05-09,Texas,TX,32840.0,Required full school year
114,4818360,0.0,2020-11-30,2021-05-09,Texas,TX,4640.0,Required full school year
115,4818390,0.0,2020-11-30,2021-05-09,Texas,TX,1200.0,Required at least part of school year
116,4818660,0.0,2020-11-30,2021-05-09,Texas,TX,91.0,Required full school year
117,4818890,0.0,2020-11-30,2021-05-09,Texas,TX,77.0,Not required
118,4819140,0.0,2020-11-30,2021-05-09,Texas,TX,275.0,Required full school year
119,4819350,33.0,2020-11-30,2021-05-09,Texas,TX,3993.0,Required full school year
120,4819440,0.0,2020-11-30,2021-05-09,Texas,TX,705.0,Required full school year
121,4819620,0.0,2020-11-30,2021-05-09,Texas,TX,777.0,Required at least part of school year
122,4819700,170.0,2020-11-30,2021-05-09,Texas,TX,77276.0,Required at least part of school year
123,4819830,29.0,2020-11-30,2021-05-09,Texas,TX,10366.0,Required at least part of school year
124,4820600,0.0,2020-11-30,2021-05-09,Texas,TX,11871.0,Required full school year
125,4820640,5.0,2020-11-30,2021-05-09,Texas,TX,1913.0,Required full school year
126,4820970,0.0,2020-11-30,2021-05-09,Texas,TX,133.0,Required at least part of school year
127,4821090,0.0,2020-11-30,2021-05-09,Texas,TX,254.0,Required full school year
128,4821330,0.0,2020-11-30,2021-05-09,Texas,TX,317.0,Required at least part of school year
129,4821360,0.0,2020-11-30,2021-05-09,Texas,TX,2284.0,Required at least part of school year
130,4821390,88.0,2020-11-30,2021-05-09,Texas,TX,7471.0,Required at least part of school year
131,4821480,0.0,2020-11-30,2021-05-09,Texas,TX,166.0,Required at least part of school year
132,4821540,0.0,2020-11-30,2021-05-09,Texas,TX,1339.0,Required at least part of school year
133,4821750,5.0,2020-11-30,2021-05-09,Texas,TX,2848.0,Required at least part of school year
134,4821780,0.0,2020-11-30,2021-05-09,Texas,TX,4713.0,Required full school year
135,4821930,0.0,2020-11-30,2021-05-09,Texas,TX,439.0,Required at least part of school year
136,4821990,0.0,2020-11-30,2021-05-09,Texas,TX,147.0,Required full school year
137,4822230,0.0,2020-11-30,2021-05-09,Texas,TX,794.0,Required full school year
138,4822320,0.0,2020-11-30,2021-05-09,Texas,TX,1849.0,Required full school year
139,4822380,0.0,2020-11-30,2021-05-09,Texas,TX,1213.0,Required at least part of school year
140,4822470,38.0,2020-11-30,2021-05-09,Texas,TX,12459.0,Required full school year
141,4822590,0.0,2020-11-30,2021-05-09,Texas,TX,577.0,Required full school year
142,4822740,0.0,2020-11-30,2021-05-09,Texas,TX,550.0,Not required
143,4822830,0.0,2020-11-30,2021-05-09,Texas,TX,727.0,Required full school year
144,4822970,6.0,2020-11-30,2021-05-09,Texas,TX,3345.0,Required full school year
145,4823010,10.0,2020-11-30,2021-05-09,Texas,TX,3878.0,Required full school year
146,4823280,0.0,2020-11-30,2021-05-09,Texas,TX,1877.0,Required full school year
147,4823400,6.0,2020-11-30,2021-05-09,Texas,TX,1042.0,Required at least part of school year
148,4823430,11.0,2020-11-30,2021-05-09,Texas,TX,1825.0,Required full school year
149,4824000,0.0,2020-11-30,2021-05-09,Texas,TX,1573.0,Required full school year
150,4824030,59.0,2020-11-30,2021-05-09,Texas,TX,10883.0,Required full school year
151,4824100,0.0,2020-11-30,2021-05-09,Texas,TX,8432.0,Required full school year
152,4824150,0.0,2020-11-30,2021-05-09,Texas,TX,1198.0,Required at least part of school year
153,4824450,0.0,2020-11-30,2021-05-09,Texas,TX,617.0,Required full school year
